"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 08 22:40:00 IST 2023","Fri Sep 08 22:40:11 IST 2023","10567","test_Collections","test_home_page1","TestHomePage","","","test_HomePageVerification",""
"passed","Fri Sep 08 22:39:41 IST 2023","Fri Sep 08 22:39:51 IST 2023","10503","test_Collections","test_home_page","TestHomePage","","","test_HomePageVerification",""
